fullName,firstName,lastName,firmName,title,email,linkedin,location,source
"Stephan Schubert","Stephan","Schubert","STS Ventures","","","https://www.linkedin.com/company/sts-ventures","Cologne, Germany","folk-european-family-offices-founders"
"Carolina Müller-Möhl","Carolina","Müller-Möhl","Müller-Möhl Group","","","","Zurich, Switzerland","folk-european-family-offices-founders"
"Bernd Schrüfer","Bernd","Schrüfer","Extorel","","","","Munich, Germany","folk-european-family-offices-founders"
"Martin Hauge","Martin","Hauge","Frog Capital","","","https://www.linkedin.com/company/frog-capital-ltd","London, United Kingdom","folk-european-family-offices-founders"
"Patrick Héritier","Patrick","Héritier","Plurigestion","","","https://www.linkedin.com/company/plurigestion-sa","Geneva, Switzerland","folk-european-family-offices-founders"
"Andrew Schneider","Andrew","Schneider","Schneider Family Office","","","","Alfter, Germany","folk-european-family-offices-founders"
"Christo Leventis","Christo","Leventis","Alpheus Capital Limited","","","https://www.linkedin.com/company/alpheus-capital-limited","London, United Kingdom","folk-european-family-offices-founders"
"Julius Neuberger","Julius","Neuberger","K5 Family Office","","","https://www.linkedin.com/company/k5","Munich, Germany","folk-european-family-offices-founders"
"Fredrik Tilander","Fredrik","Tilander","Backstage","","","","Stockholm, Sweden","folk-european-family-offices-founders"
"Frey Rainer-Marc","Frey","Rainer-Marc","Horizon21","","","https://www.linkedin.com/company/horizon21","Pfaeffikon, Switzerland","folk-european-family-offices-founders"
"Rouven Westphal","Rouven","Westphal","HPC Germany","","","https://www.linkedin.com/company/hpc-office","Potsdam, Germany","folk-european-family-offices-founders"
"Jens Söderholm","Jens","Söderholm","Batofin Oy Ab","","","","Helsinki, Finland","folk-european-family-offices-founders"
"Marcel Van Poecke","Marcel Van","Poecke","AtlasInvest","","","https://www.linkedin.com/company/atlasinvest","Brussels, Belgium","folk-european-family-offices-founders"
"Nabil Chartouni","Nabil","Chartouni","Acropolis Capital","","","https://www.linkedin.com/company/acropolis-capital","London, United Kingdom","folk-european-family-offices-founders"
"Simon Minder","Simon","Minder","Marcuard Family Office","","","https://www.linkedin.com/company/marcuard-family-office","Zurich, Switzerland","folk-european-family-offices-founders"
"Lomax Ward","Lomax","Ward","White Cloud Capital","","","https://www.linkedin.com/company/white-cloud-capital","London, United Kingdom","folk-european-family-offices-founders"
"Jeremie Berrebi","Jeremie","Berrebi","Kima Ventures","","","https://www.linkedin.com/company/kima-ventures","Paris, France","folk-european-family-offices-founders"
"George Coelho","George","Coelho","Cofra Holding","","","https://www.linkedin.com/company/good-energies","Zug, Switzerland","folk-european-family-offices-founders"
"Etienne Queti","Etienne","Queti","Groupe Arnault","","","https://www.linkedin.com/company/groupe-arnault","Paris, France","folk-european-family-offices-founders"
"António Campinos","António","Campinos","Finance Private Group","","","","Lisbon, Portugal","folk-european-family-offices-founders"
"Alexander Meyer De","Alexander Meyer","De","LJ Partnership","","","https://www.linkedin.com/company/lj-partnership","London, United Kingdom","folk-european-family-offices-founders"
"Albert Niggli","Albert","Niggli","Arabella Vermögensverwaltung","","","","Chur, Switzerland","folk-european-family-offices-founders"
"Shane Feng","Shane","Feng","Coral Reef IO","","","https://www.linkedin.com/company/coral-reef-io","London, United Kingdom","folk-european-family-offices-founders"
"Bernd Wendeln","Bernd","Wendeln","WEGA Invest","","","","Munich, Germany","folk-european-family-offices-founders"
"Francois Jourdin","Francois","Jourdin","MJ&Cie","","","","Paris, France","folk-european-family-offices-founders"
"Frank N Stolpmann","Frank","N Stolpmann","EX.TRA Management","","","https://www.linkedin.com/company/ex-tra-management-gmbh","Dortmund, Germany","folk-european-family-offices-founders"
"Dieter Spälti","Dieter","Spälti","Spectrum Value Management","","","","Rapperswil-Jona, Switzerland","folk-european-family-offices-founders"
"Stefan Schaffhauser","Stefan","Schaffhauser","Calibrium","","","https://www.linkedin.com/company/calibrium-ag","Zurich, Switzerland","folk-european-family-offices-founders"
"Ken Stefano De","Ken Stefano","De","Reig Capital","","","https://www.linkedin.com/company/reig-capital","Andorra, Andorra","folk-european-family-offices-founders"
"Thomas Matter","Thomas","Matter","Matter Group","","","","Zurich, Switzerland","folk-european-family-offices-founders"
"Mick Mende","Mick","Mende","Mende Family Office","","","","Karlsruhe, Germany","folk-european-family-offices-founders"
"Mariana Bozesan","Mariana","Bozesan","AQAL Capital","","","https://www.linkedin.com/company/aqal-capital","Munich, Germany","folk-european-family-offices-founders"
"Frederik Redele","Frederik","Redele","Commenda Family Office","","","https://www.linkedin.com/company/commenda-family-office","Amsterdam, Netherlands","folk-european-family-offices-founders"
"Roland Staub","Roland","Staub","FS Finance Suisse","","","","Zurich, Switzerland","folk-european-family-offices-founders"
"Kaha Baindurashvili","Kaha","Baindurashvili","Willsfort","","","","-, Georgia","folk-european-family-offices-founders"
"Roberto Falzoni","Roberto","Falzoni","Denarius Conseils & Gestion","","","https://www.linkedin.com/company/denarius-conseils-&-gestion-s-a-","Geneva, Switzerland","folk-european-family-offices-founders"
"Thomas Hoegh","Thomas","Hoegh","Arts Alliance","","","https://www.linkedin.com/company/artsalliance","London, United Kingdom","folk-european-family-offices-founders"
"Christian Winter","Christian","Winter","Tengelmann Ventures","","","https://www.linkedin.com/company/tev-ventures","Mülheim ad Ruhr, Germany","folk-european-family-offices-founders"
"Oliver Samwer","Oliver","Samwer","Global Founders Capital","","","https://www.linkedin.com/company/global-founders-capital","London, United Kingdom","folk-european-family-offices-founders"
"Magnus Brandberg","Magnus","Brandberg","Gullspang Invest","","","https://www.linkedin.com/company/gullspangvc","Stockholm, Sweden","folk-european-family-offices-founders"
"Bernard Frédéric Girardet","Bernard Frédéric","Girardet","Clear Eight Capital","","","https://www.linkedin.com/company/clear-eight-property","Geneva, Switzerland","folk-european-family-offices-founders"
"David Cowling","David","Cowling","General Oriental Investments","","","","Geneva, Switzerland","folk-european-family-offices-founders"
"Pascal Cagni","Pascal","Cagni","C4 Ventures","","","https://www.linkedin.com/company/c4-ventures","London, United Kingdom","folk-european-family-offices-founders"
"Federico Pirzio-Biroli","Federico","Pirzio-Biroli","Playfair Capital","","","https://www.linkedin.com/company/playfair-capital","London, United Kingdom","folk-european-family-offices-founders"
"Hussam Otaibi","Hussam","Otaibi","Floreat Family Office Services","","","https://www.linkedin.com/company/floreat-group","London, United Kingdom","folk-european-family-offices-founders"
"João Da Cunha Portugal","João Da Cunha","Portugal","Amorim Holding II","","","https://www.linkedin.com/company/amorim-holding","Mozelos, Portugal","folk-european-family-offices-founders"
"Oswald Kahn Mackay","Oswald Kahn","Mackay","Berlin-Kahn-Mackay Family Trust","","","","Gibraltar, Gibraltar","folk-european-family-offices-founders"
"Michael Parsons","Michael","Parsons","Wren Investment Office","","","https://www.linkedin.com/company/wren-investment-office","London, United Kingdom","folk-european-family-offices-founders"
"Nicandro Barile","Nicandro","Barile","Helvetic Trust","","","https://www.linkedin.com/company/helvetic-trust-ltd.","Bern, Switzerland","folk-european-family-offices-founders"
"Gordon Grant Curtis","Gordon","Grant Curtis","CI Investments","","","","Lugano, Switzerland","folk-european-family-offices-founders"
"Pascal Seppelfricke","Pascal","Seppelfricke","Seppelfricke & Co. Family Office","","","https://www.linkedin.com/company/seppelfricke-&-co-family-office-ag","Dusseldorf, Germany","folk-european-family-offices-founders"
"Christian Hernandez","Christian","Hernandez","White Star Capital","","","https://www.linkedin.com/company/white-star-capital","London, United Kingdom","folk-european-family-offices-founders"
"Fabian Heilemann","Fabian","Heilemann","Heilemann Ventures","","","https://www.linkedin.com/company/heilemann-ventures-gmbh","Berlin, Germany","folk-european-family-offices-founders"
